ID	Source	Direction	Target	Status	Contributor	Shift Type	Language	Language ID	Lexeme	Source/Sense1	Target/Sense2	Reference	Comments	Contributor
554	cunning, sly	—	devil, satan	Accepted	TM	Derivation	Russian	russ1263	lukavyj	 'sly, cunning' → 		 	 The development of CUNNING.	 TM
555	snake	→	guileful, crafty person	Accepted	TM	Polysemy	Adyghe	adyg1241	blašhwe	 'gray snake (poisonous)' 	'Gorgon, Fury' 	 	 АдРС 29	 MR
556	herald, messenger	—	matchmaker	Suspended	TM	Polysemy	Lezgian	lezg1247	ilči	 'ambassador, messenger, courrier' 	'matchmaker' 	 	 (LezgRus 136)	 TM
557	history	—	event, occurrence	Accepted	TM	Polysemy	Russian	russ1263	istorija	 'story' 	'episode, adventure' 	 	 	 TM
558	hot	→	hoarse	New	TM	Polysemy	Lezgian	lezg1247	ifej	 'heated, red-hot' 	'hoarse' 	 	 (LezgRus 142)	 TM
559	to heat up	→	to beat, hit	Accepted	TM	Polysemy	Komi	komi1267	шонтыны	 'to warm up' 	'to beat smn' 	 	 Коми 737	 MR
560	to mix, stir	—	to confuse (with)	Accepted	TM	Polysemy	Lezgian	lezg1247	kakadarun	 'to mix, to stir' 	'to confuse' 	 	 (LezgRus 148)	 TM
561	hand/arm	—	handful	New	TM	Polysemy	Lezgian	lezg1247	kap	 'hand' 	'handful' 	 	 (LezgRus 150). Also means 'slice: chunk'.	 TM
562	woman	↔	person	Suspended	TM	Polysemy	Anmatjirra (Anmatyerre)	anma1239	arilh	 'woman' 	'person' 	 	 In the Aranda group of the Australian languages there is the polysemy of this type in one language, in three there is only meaning А, in three more 3 only meaning B. In this case the original meaning is supposed to be that of PERSON (Wilkins 1996: 287).	 TM
563	man	↔	person	Accepted	TM	Polysemy	Karakhanid Uighur	uigh1240	ар	 'man' 	'person' 	 	 МК 18	 MR
564	trunk (body part)	→	person	Suspended	TM	Polysemy	Malayalam	mala1538	mai	 'body' 	'person' 	 	 There is the polysemy also in the language of Tulu. It goes back to the Proto-Dravidian *may 'body', in some languages there is only the word only with the meaning А (Wilkins 1996: 277).	 TM
565	to come	→	to have experience	Suspended	TM	Derivation	Russian	russ1263	prihodit'	 'to come' → 		 	 Cf. also the Russian verbs приводиться and доводиться. ###Cf. also TO COME - TO HAVE TO.	 TM
566	to come	→	to begin (tr.)	Suspended	TM	Polysemy	Portuguese	port1283	chegar	 'to come' 	'to start doing, to finish in the end' 	 	 Constructions are: venir a inf. Also llegar a inf. In Spanish: vir + inf. / a inf. Also chegar a inf. In Portugal: vir a inf. Also chegar a inf. In Galician: arribar a inf. (with the verb ‘to come, to arrive’ in Catalan).	 TM
567	to come	→	must	Accepted	TM	Derivation	Russian	russ1263	prihodit'	 'to come'  		 	 Cf. COME - HAVE EXPERIENCE.	 TM
568	to enter	→	to begin (tr.)	New	TM	Polysemy	Yakut	yaku1245	киир-	 'to enter, to come in, to move in' 	'to set about to, to start' 	 	 ЯРС 164.	 IG
569	to go out	→	to result in	Accepted	TM	Polysemy	Russian	russ1263	vyhodit'	 'to go out' 	'to result' 	 	 Cf. не вышел чем-либо (colloquial) 'the person does not possess some trait to a sufficient, needed degree': Ростом не вышел (of small height). Чином не вышел (has a small rank: obs.). Рылом не вышел (ugly, plain: vulg.), etc.	 TM
570	to go up	→	to begin (tr.)	Suspended	TM	Polysemy	Vietnamese	viet1252	lên	 'to rise, to go up' 	'to start, to become' 	 	 With verbs, denoting «ситуации, поддающиеся зрительному или слуховому восприятию (situations that can be perceived visually or auditorily)» (‘сверкать (to glitter)’, ‘кричать (to cry)’, ‘плакать (to weep)’), denoting «душевное состояние» (emotional states)(‘ревновать (to be jealous)’, ‘обижаться’ (to be upset)) or «проявление (manifestation)» of such a state (‘браниться’ (to scold)), with adjectives. Cf. hát 'to sing', rú 'to shout, to howl', ức 'to be offended', ghen'to be jealous', run 'trembling', đẹp 'beautiful'.	 TM
571	to transit	→	to have experience	Suspended	TM	Polysemy	Mandarin Chinese	mand1415	guo	 'to pass, to cross' 	'action or state has taken place at least once (suffix like)' 	 	 Cf. wo kan-guo naben shu ‘I read, I had to read this book’. The situation in Thai languages is the same.	 TM
572	to transit	→	to become	Accepted	TM	Polysemy	Portuguese	port1283	passar	 'to cross, to pass' 	'to become (+ infinitive)' 	 	 	 TM
573	to come	→	to come (of an event)	Accepted	TM	Polysemy	Japanese	nucl1643	kuru (来る)	 'to come' 	'to come (event)' 	 	 EDICT.	 IG
574	boy	—	son	Accepted	TM	Polysemy	Avar	avar1256	was	 'boy' 	'son' 	 	 The polysemy in general is typical for Nakh-Daghestanian languages and their different groups (i.e. the words that do not necessarily go back to the same proto-root) (Kibrik, Kodzasov 1990: 57).	 TM
575	girl	—	daughter	Accepted	TM	Polysemy	Romanian	oma1329 	fată	 'girl, maiden' 	'daughter' 	 	 DRRS 1, 825, DEX98. In the meaning of 'daughter' the word fiică is used more often.	 MR
576	young	—	new	Suspended	TM	Polysemy	Portuguese	port1283	novo	 'young (person)' 	'new (thing)' 	 	 This is a neutral word in both cases.	 TM
577	old (vs. young)	—	old (vs. new)	Suspended	TM	Polysemy	Saamic	saam1281	вуэммь	   		 	 СаамРС, 62	 MR
578	to disappear	→	to spoil (intr.)	Suspended	TM	Polysemy	Russian	russ1263	propadat'	 'to disappear' 	'to go bad' 	 	 	 TM
579	sky	—	year	Suspended	TM	Polysemy	Tindi	tind1238	rehan	 'sky' 	'year' 	 	 The same polysemy (or derivation) exists in Andi and Akhvakh (Kibrik, Kodzasov 1990: 197, 209).	 TM
580	<crockery>	→	face	Suspended	TM	Semantic evolution	Russian	russ1263	rjaška / rjažka	 'small tub, bucket'   Russian 		 	" Dal'. ###Я ставлю ""эволюция"", т.к. носители русского языка в основном не знают, что это слово значило раньше."	 TM
581	cold (adj.)	→	unpleasant	Accepted	TM	Polysemy	Tabassaran	taba1259	abʁub	 'to cool, to chill, to freeze' 	'to annoy' 	 	 (TabRus 44)	 TM
582	to inhabit, live	↔	to be situated	Suspended	TM	Polysemy	Serbo-Croatian	out1528 	boraviti	 'to live' 	'to be somewhere' 	 	 	 DG
583	hyena	—	old (vs. young)	New	TM	Polysemy	Lezgian	lezg1247	kaftar	 'hyena' 	'old, senile, feeble (old woman)' 	 	 (LezgRus 152). Cf. КУСКАФТАР 'hyena: witch, hag' (LezgRus 167). The same in the Tabassaran КАФТАР (TabRus 189). Cf. the Udi КАФТIАР 'old, decrepit man', КАФТIАР-КУСИ 'old woman, vampire' (Gukasjan 1974: 133).	 TM
584	poor	→	unhappy	Accepted	TM	Polysemy	Turkish	nucl1301	cıbır	 'poor' 	'poor, miserable' 	 	 ТуРС 153.	 IG
585	missing, failing	→	stupid	New	TM	Polysemy	Lezgian	lezg1247	kimi	 'missing' 	'stupid holy fool' 	 	 (LezgRus 158). The same in Tabassaran (КАМИ), cf. (TabRus 188).	 TM
586	dog	→	bad person	Accepted	TM	Polysemy	Russian	russ1263	pes	 'dog' 	'bad person' 	 	 	 All
587	dog	→	Arctic fox	New	TM	Derivation	Russian	russ1263	pës	 'dog (male)'  		 	 Cf. недопёсок 'young arctic fox' and рослопесец 'adult arctic fox', both contain the root for 'dog'.	 TM
588	pleasure	—	benefit	New	TM	Polysemy	Lezgian	lezg1247	kfet	 'pleasure' 	'use, benefit' 	 	 (LezgRus 171)	 TM
589	<wooden object>	→	fool	Accepted	TM	Polysemy	French	stan1290	bûche	 'log' 	'blockhead' 	 	 	 MR
590	bone	→	yellow	New	TM	Polysemy	Lezgian	lezg1247	k’arab	 'bone' 	'ice-cream (colour)' 	 	 (LezgRus 212)	 TM
591	house	→	family	Accepted	TM	Polysemy	Udi	udii1243	kːož	 'house'  		 	 (From a collection of texts)	 TM
592	to fall down	—	to experience failure	Accepted	TM	Polysemy	Russian	russ1263	provalit'sja	 'to fall through' 	'to fail' 	 	 	 TM
593	foot/leg	→	cock (of a gun)	New	TM	Polysemy	Lezgian	lezg1247	k’ʷač	 'foot, leg' 	'trigger (gun)' 	 	 (LezgRus 215)	 TM
594	sharp point	→	chief (n.)	Suspended	TM	Polysemy	Lezgian	lezg1247	k’ʷenk’ʷ	 'point' 	'chief (colloq.), boss' 	 	 (LezgRus 215)	 TM
595	hook	↔	fang	Accepted	TM	Polysemy	Lezgian	lezg1247	k’ir	 'hook' 	'fang' 	 	 (LezgRus 217). The same in Tabassaran, cf. (TabRus 214).	 TM
596	hook	—	claw	New	TM	Polysemy	Lezgian	lezg1247	qːarmaχ	 'hook' 	'claw' 	 	 (LezgRus 181). The same in Tabassaran (ГЪАРМАХ), cf. (TabRus 109).	 TM
597	substance	↔	wood, timber	New	TM	Semantic evolution	Latin	lati1261	materia	    Portuguese 		 	 ###стоит переделать на латинскую полисемию слова materia - МР	 TM
598	tree	—	firewood	New	TM	Polysemy	Yakut	yaku1245	мас	 'tree' 	'wood: log' 	 	 	 IG
599	tree	—	wood, timber	Accepted	TM	Polysemy	Yakut	yaku1245	мас	 'tree' 	'timber' 	 	 ЯРС 236.	 IG
600	tree	—	forest	New	TM	Polysemy	Aghul	aghu1253	dar	   		 	 In Tabassaran dialects both meanings are expressed by the word гьар. It has been attested also in some Andi and Tsez languages.	 TM
601	wood, timber	—	forest	Accepted	TM	Polysemy	Ancient Greek	anci1242	ὕλη	 'timber' 	'forest' 	 	 	 MR
602	firewood	—	wood, timber	New	TM	Polysemy	German	stan1295	Holz	   		 	 	 TM
603	road	→	sea	Suspended	TM	Cognates	Russian	russ1263	put'	 'way'   Ancient Greek 	way	 	" Cf. Kisilier 2007: ""Когда почти четыре тысячелетия назад греческие племена пришли на Балканы, они впервые увидели море, для обозначения которого в их языке даже не оказалось специального слова. Вслед за местным населением (пеласгами) они стали называть море Ja/lassa, однако этого слова оказалось недостаточно для описания всех удивительных свойств малоизвестной стихии: оно не передавало столь непривычного соленого вкуса воды (как это делает a(/lj (ж. р.) ‘море’), а главное, чужое слово Ja/lassa ничего не говорило о том, чем море больше всего поразило греков — по морю можно было передвигаться почти так же, как по суше. Так море стало для греков po/ntoj, т. е. дорогой в новые земли (ср. с лат. pons ‘мост’ и русск. путь)""."	 TM
604	to kill	—	to sow	Suspended	TM	Polysemy	Ingush	ingu1240	dʕade	 'to kill' 	'to sow' 	 	 (Kurkiev 2004: 170)	 TM
605	to heat up	—	to weaken, loosen	Suspended	TM	Polysemy	Ingush	ingu1240	dʕamelde	 'to warm up' 	'to weaken' 	 	 (Kurkiev 2004: 176). The word containswith the prefix of withdrawal.	 TM
606	beak	→	cock (of a gun)	Suspended	TM	Polysemy	Ingush	ingu1240	zʕok	 'beak (bird)' 	'trigger, firing hammer' 	 	 (Kurkiev 2004: 197)	 TM
607	ray	—	chain (n.)	Suspended	TM	Polysemy	Ingush	ingu1240	zʕɨ	 'ray' 	'chain' 	 	 (Kurkiev 2004: 197-198)	 TM
608	to extinguish	—	to lose	Suspended	TM	Polysemy	Ingush	ingu1240	joaje	 'to lose: to erase, to strike through' 	'to put out' 	 	 (Kurkiev 2004: 206). Cf. another dirivative on p. 208: ЙАВ 'to get lost', 'to go out (of light)'.	 TM
609	news	—	bribe	Suspended	TM	Polysemy	Ingush	ingu1240	qaʔ	 'good news' 	'bribe' 	 	 (Kurkiev 2004: 238)	 TM
610	fang	—	maple (Acer)	Suspended	TM	Polysemy	Ingush	ingu1240	q'oaχk	 'fang, tush, teeth' 	'maple' 	 	 (Kurkiev 2004: 256)	 TM
611	soft (adj.)	—	weak	Accepted	TM	Polysemy	Ingush	ingu1240	k'ädːe	 'to soften, to pommel' 	'to exhaust, to tire out' 	 	 (Kurkiev 2004: 264)	 TM
612	throat	—	cock (of a gun)	Suspended	TM	Polysemy	Ingush	ingu1240	lak	 'throat: key, valve' 	'trigger' 	 	 (Kurkiev 2004: 273)	 TM
613	person	—	other`s	New	TM	Polysemy	Ingush	ingu1240	näχa	 'popular, folk' 	'alien' 	 	 (Kurkiev 2004: 317)	 TM
614	to pull	—	to weigh (intr.)	Accepted	TM	Polysemy	Lezgian	lezg1247	č’ugun	 'to pull, to draw' 	'to weigh' 	 	 (LezgRus 379)	 TM
615	blood vessel	—	string (of a musical instrument)	Suspended	TM	Polysemy	Ingush	ingu1240	pχa	 'blood vessel' 	'string' 	 	 (Kurkiev 2004: 342)	 TM
616	to dawn	—	to want	Suspended	TM	Polysemy	Ingush	ingu1240	satasːa	 'to dawn' 	'to long for smth, to desire' 	 	 (Kurkiev 2004: 355)	 TM
617	sky	—	palate	Accepted	TM	Polysemy	Erzya	erzy1239	менель	 'sky' 	'palate' 	 	 ЭрзРС 376	 MR
618	to throw	—	to shear	Suspended	TM	Polysemy	Ingush	ingu1240	tasːa	 'to throuw, to cast' 	'to shear' 	 	 (Kurkiev 2004: 374)	 TM
619	ashes	—	sawdust	Suspended	TM	Polysemy	Ingush	ingu1240	čil	 'ashes' 	'sawdust' 	 	 (Kurkiev 2004: 483). The word also means 'snowflake' and 'mill dust'.	 TM
620	dandruff	—	bran	Suspended	TM	Polysemy	Ingush	ingu1240	čič	 'dandruff' 	'bran' 	 	 (Kurkiev 2004: 483)	 TM
621	centre	—	loins	Accepted	TM	Polysemy	Latin	lati1261	gremium	 'lap' 	'centre' 	 	 	 MB
622	to howl	—	to cry, weep	New	TM	Polysemy	Russian	russ1263	vyt'	 'to howl' 	'to cry loudly, to howl' 	 	 (Ushakov)	 TM
623	shame	—	defect	New	TM	Polysemy	Lezgian	lezg1247	ajib	 'shame, disgrace, outrage' 	'defect, shorcoming, drawback' 	 	 (LezgRus 35)	 TM
624	to see/to look at	→	to look (e.g. well)	New	TM	Polysemy	Lezgian	lezg1247	akun	 'to see' 	'to look' 	 	 (LezgRus 36)	 TM
625	noise	—	rumour	Accepted	TM	Polysemy	Ancient Greek	anci1242	ἠχώ	 'noise, buzz' 	'rumours' 	 	 	 MR
626	snake	—	caterpillar	Accepted	TM	Cognates	Russian	russ1263	gnusina	 'snake'   Russian 	snake	 	 Both meanings are dialectal. 1 - Tobol., Amur., Sverdl. 2 - North, East., Sib., Даль СРНГ 6, 250	 MR
627	worm	—	intestinal worm	New	TM	Syncretism	Lezgian	lezg1247	šar	 'earthworm' 	'belly worm' 	 	 (LezgRus 382). The same in Tabassaran (TabRus 347).	 TM
628	cattle	→	bad person	Accepted	TM	Polysemy	Yakut	yaku1245	сүөhү	 'cattle' 	'brute' 	 	 ЯРС 349.	 IG
629	bitter	—	poison	Accepted	TM	Polysemy	Udi	udii1243	aʁu	 'bitter, salty' 	'poison' 	 	 Cf. derivatives: adjective агъулу 'bitter', noun агъулугъ 'bitterness', verb агъуламиш баксун 'to get poisoned' (Gukasjan 1974: 35). The root is probably a Turkic loan.	 TM
630	glass (material)	—	window	New	TM	Polysemy	Udi	udii1243	ajna	 'window pane' 	'window with window panes' 	 	 (Gukasjan 1974: 39)	 TM
631	sky	—	frost	New	TM	Polysemy	Udi	udii1243	ajaz	 'clear sky' 	'frost' 	 	 (Gukasjan 1974: 38)	 TM
632	to stand up	—	to wake up (intr.)	New	TM	Polysemy	Japanese	nucl1643	okiru (起きる)	 'to stand up' 	'to wake up' 	 	 Examples like 昨夜はテレビでオリンピックを見て２時まで起きていた I sat up last night until two o'clock watching the Olympic Games on TV. Show that meaning B is rather that of simply 'be awake'.	 IG
633	word	—	speech	Suspended	TM	Polysemy	Tagalog	taga1270	salitâ	 'word' 	'speech, conversation' 	 	 Таг 264	 MR
634	to become visible	→	to come	New	TM	Polysemy	Udi	udii1243	akːesun	 'to appear' 	'to come' 	 	 The verb is a derived detransitive from акIсун 'to see' (Gukasjan 1974: 40)	 TM
635	robbery	—	greediness	New	TM	Polysemy	Udi	udii1243	alamančiluʁ	 'robbery' 	'demolition, greed' 	 	 Cf. аламанчи '1. robber, 2. stingy', and also аламанчилугъ бесун '1. to rob, 2. to be stingy' (Gukasjan 1974: 42)	 TM
636	top	—	North	Accepted	TM	Polysemy	Udi	udii1243	alin	 'upper' 	'North' 	 	 (Gukasjan 1974: 42)	 TM
637	lower part	→	south	Accepted	TM	Polysemy	Udi	udii1243	cina	 'upside down' 	'South' 	 	 [Gukasjan 1974: 233)	 TM
638	empty	→	in vain	Accepted	TM	Derivation	Geez	geez1241	bakk	 'empty' — 		 	 LLA 523	 MB
639	to become ready (of food)	—	to ripen	Accepted	TM	Polysemy	Udihe	udii1243	йē-	 'to get boiled, to get cooked (о вареве)' 	'to ripen (berries)' 	 	 Кормушин 1998, 243	 MR
640	to burn (intr.)	→	to ripen	New	MR	Polysemy	Swahili	swah1253	auka	 'to burn (wood, coal)' 	'to ripen' 	 	 Polikanov	 MR
641	to ripen	—	to grow up	Suspended	TM	Polysemy	Udi	udii1243	bapːi	 'ripe' 	'adult' 	 	 The original meaning of the verb БАПСУН / П1АП1CУН is 'to ripe, to mature' (Gukasjan 1974: 70).	 TM
642	distance	—	interval	New	TM	Polysemy	Udi	udii1243	ara	   		 	 (Gukasjan 1974: 47)	 TM
643	lion (Panthera leo)	—	<governor>	Accepted	TM	Polysemy	Karakhanid Uighur	uigh1240	арслан	 'lion' 	'a word for king (Mahmud from Kashgar)' 	 	" МК 6582. Turkic word was borrowed into Udi. aslan 'lion', аслан-лугъ (с суффиксом абстрактных имен) ""господство, тирания"", аслан-лугъ бесун ""хозяйничать, господствовать"" [(Gukasjan 1974: ]."	 MR
644	to load	→	to beat, hit	Suspended	TM	Polysemy	Udi	udii1243	aχadesun	 'to hump, to shoulder a burden on one's back' 	'to strike' 	 	 A causative verb from 'to put a burden on one's back, to carry on one's back' (Gukasjan 1974: 51).	 TM
645	to castrate, geld	—	to take out	New	TM	Polysemy	Udi	udii1243	aχtːa besun	 'to castrate' 	'to take the stone out of a fruit' 	 	 (Gukasjan 1974: 51-52)	 TM
646	to play (intr.)	—	dance (n.)	Accepted	TM	Polysemy	Armenian	nucl1235	xał	 'game (children, sport)' 	'dance' 	 	 АрмРС 285	 MR
647	to play (intr.)	→	joke	Accepted	TM	Derivation	Russian	russ1263	igra	 'game, play'  		 	 	 IG
648	to tear off, peel off	→	to make empty	New	TM	Polysemy	Udi	udii1243	ašˁampesun	   		 	 Cf. ашIам 'stripping, peeling' (Gukasjan 1974: 55-56).	 TM
649	hand/arm	→	side (n.)	Accepted	TM	Polysemy	Japanese	nucl1643	te (手)	 'arm, hand' 	'side, direction' 	 	 ЯРИРЯС 276.	 IG
650	hand/arm	→	kind (n.)	Suspended	TM	Polysemy	Russian	russ1263	ruka	 'hand, arm' 	'type of merchandise (Dahl)' 	 	 (Dal')	 TM
651	liquid (adj.)	→	sparse	Accepted	TM	Polysemy	Udi	udii1243	baqi	 'liquid, thin, washy' 	'sparse' 	 	 (Gukasjan 1974: 69)	 TM
652	liquid (adj.)	→	weak	Suspended	TM	Polysemy	Russian	russ1263	židkij	 'watery, thin (not strong ot thick enough)' 	'having no force, richness: feeble' 	 	 	 TM
653	to eat	→	to be fed up with	Accepted	TM	Polysemy	Erzya	erzy1239	нильгедемс	 'to eat one's head off' 	'to annoy, to bore' 	 	 The second meaning has been marked as figurative. The word has been derived from the verb нилемс 'to swallow'	 MR
654	to shout	→	to cry, weep	Accepted	TM	Polysemy	Swahili	swah1253	lia	 'to shout, to scream' 	'to cry' 	 	 Polikanov	 MR
655	to tin	→	to swear, curse, abuse one another	New	TM	Polysemy	Modern Greek	mode1248	γανώνω	 'to tinplate' 	'to disgrace, to mock, to dishonour' 	 	 Хориков, Малев 206	 MR
656	brave	—	lavish	Suspended	TM	Polysemy	Udi	udii1243	märd	 'courageous, brave' 	'generous' 	 	 (Gukasjan 1974: 172). An Azeri loan.	 TM
657	arrow	—	comb	Suspended	TM	Polysemy	Udi	udii1243	oχ	 'arrow (=azeri)' 	'comb' 	 	 (Gukasjan 1974: 184) There is also the meaning 'shaft (of a cart)'. Homonymy cannot be excluded.	 TM
658	to walk, to go	—	to search, to look for	Accepted	TM	Polysemy	Aghul	aghu1253	arucas	 'to walk' 	'to look for' 	 	 	 TM
659	to scratch (when itches)	—	to shave	Suspended	TM	Polysemy	Udi	udii1243	χampesun	 'to comb' 	'to shave' 	 	 (Gukasjan 1974: 219)	 TM
660	navel	→	stone (of a fruit)	Suspended	TM	Polysemy	Udi	udii1243	cːan	 'belly button' 	'stone (fruit)' 	 	 (Gukasjan 1974: 233)	 TM
661	to slaughter (cattle)	—	to sweep	Suspended	TM	Polysemy	Udi	udii1243	šˁampesun	 'to slaughter (e.g. A sheep)' 	'to sweep' 	 	 (Gukasjan 1974: 249). The homonymy cannot be excluded.	 TM
662	sign, designation	→	betrothal, engagement	New	TM	Polysemy	Lezgian	lezg1247	lišan	 'sign, mark'  		 	 (LezgRus 224). The same in Tabassaran (TabRus 219). Probably, an Azeri loan.	 TM
663	bad	—	in vain	New	TM	Polysemy	Lezgian	lezg1247	nahaq’a	 'bad, wretched' 	'vain, useless' 	 	 (LezgRus 249). The same in the Tabassaran НЯГЬЯКЬ (TabRus 246).	 TM
664	to pull	—	to compete (with smn.)	New	TM	Polysemy	Russian	russ1263	tjagat'	 'to pull, to tug, to draw' 	'to compete' 	 	" ###+ не знаю, сюда же ли значение ""тяжба"" («За луга поемные наследники с крестьянами тягаются доднесь.» Некрасов.)"	 TM
665	to go away	—	to finish	New	TM	Polysemy	Aghul	aghu1253	hajč'ʷas	 'to withdraw' 	'to stop, to give up' 	 	 	 TM
666	soul	→	person	Accepted	TM	Polysemy	Russian	russ1263	duša	 'soul' 	'person' 	 	" (Ushakov) Cf. also Vasmer: The meaning of душа 'bondman' is a calque from the Mid. Greek Yuc», cf. Yuca€ ўnqrиpwn ""slaves"", lit. ""human souls"", Apocalypse (see Бауэр, Wb.): see Ягич, AfslPh 1, 631 и сл.: Фасмер, ИОРЯС 11, 2, 392: Бернекер 1, 239."	 TM
667	breathing	→	person	Suspended	TM	Polysemy	Lezgian	lezg1247	nefes	 'spirit, breath' 	'person, idenity, face' 	 	 (LezgRus 252-253)	 TM
668	girl	→	pupil (anat.)	Accepted	TM	Polysemy	Portuguese	port1283	menina	 'girl' 	'pupil' 	 	 	 MR
669	doll	—	pupil (anat.)	Accepted	TM	Polysemy	Lezgian	lezg1247	nini	 'doll' 	'pupil' 	 	 (LezgRus 254). The same in the Tabassaran НИНИ (TabRus 244). According to NCED, there is meaning A for cognates in Tabassaran, Kryz (Alik), Agul (Khnov - i.e. Rutul?).	 TM
670	boy	—	pupil (of an eye)	New	MR	Derivation	Sanskrit	sans1269	kanīnaká	 'boy, youth' — 		 	 The words have different accents Кочергина 148	 MR
671	pumpkin	—	head	Accepted	TM	Polysemy	Italian	ital1282	cocuzza	 'pumpkin' 	'head-noddle' 	 	 	 MR
672	old (vs. new)	—	firm, solid	New	TM	Polysemy	Lezgian	lezg1247	qːadim	 'ancient, antique, former' 	'robust, solid, made for long term use' 	 	 (LezgRus 174). Cf. къадимдаказ 'solidly, firmly'.	 TM
673	green	→	plant (biol.)	Accepted	TM	Polysemy	Lezgian	lezg1247	qːaz	 'green colour' 	'bally crops going green' 	 	 (LezgRus 175, given as homonyms)	 TM
674	<artiodactyl (even-toed animal)>	→	woman	Suspended	TM	Polysemy	Lezgian	lezg1247	qːanžuχ	 'she donkey' 	'whore (fig.)' 	 	 (LezgRus 179)	 TM
675	price	—	mark, grade (at school)	New	TM	Cognates	Russian	russ1263	cena	 'price'   Russian 	price	 	" ### случай ""гетеросемии""?"	 TM
676	tailor's thimble	—	cupola, dome	New	TM	Polysemy	Lezgian	lezg1247	qːuba	 'thimble' 	'cupola' 	 	 (LezgRus 190)	 TM
677	tailor's thimble	→	foxglove (Digitalis L.)	New	TM	Derivation	Russian	russ1263	napërstok	 'thimble'  		 	 	 TM
678	strength	—	power, authority	Accepted	TM	Polysemy	German	stan1295	Macht	 'power, strength' 	'power' 	 	 The realization has been proposed by G. Zimovets and G. Yavorskaya	 IG
679	strength	—	violence	New	TM	Derivation	Russian	russ1263	sila	 'force'  		 	 	 TM
680	to swell up	—	to be angry	Accepted	TM	Polysemy	Gagauz	gaga1249	şiş	 'inflated' 	'sod all, bugger all' 	 	 	 TM
681	hoar-frost	—	dew	Accepted	TM	Polysemy	Sanskrit	sans1269	prāleya	 'frost' 	'dew' 	 	 Кочергина 454	 MR
682	weather	—	mood	Suspended	TM	Polysemy	Aghul	aghu1253	hawa	 'climate, air, weather' 	'mood' 	 	 (Sulejmanov 2003). The same in Lezgian (LezgRus 96).	 TM
683	air	—	melody, tune	Accepted	TM	Polysemy	French	stan1290	air	 'air: atmosphere' 	'aria: tune, melody' 	 	 	 AZ
684	rolling-pin	—	arrow	Suspended	TM	Polysemy	Aghul	aghu1253	hel	 'rolling pin' 	'arrow (weapon)' 	 	 In the Tpig dialect (Sulejmanov 2003).	 TM
685	to run	↔	to fly	Accepted	TM	Polysemy	Tigre	tigr1270	ʕassa	 'to run quickly' 	'to fly' 	 	 (LH 464)	 MB
686	early	—	shortly	Accepted	TM	Polysemy	Khinalug	khin1240	daχ	 'early' 	'quickly, urgently, soon' 	 	 	 DG
687	frequent	—	quick	New	TM	Polysemy	Lezgian	lezg1247	fad-fad	 'often' 	'quicker' 	 	 (LezgRus 332). Adverb ФАД means 'quickly: early'.	 TM
688	to be on good terms (with)	—	to suit (of clothes)	New	TM	Polysemy	Aghul	aghu1253	düxes	 'to get on well,' 	'to suit (clothes)' 	 	 (Sulejmanov 2003)	 TM
689	big	—	brave	Suspended	TM	Polysemy	Aghul	aghu1253	zurba	 'huge, tremendous' 	'brave: hero, braveheart' 	 	 In the Tpig dialect (Sulejmanov 2003).	 TM
690	to whet	—	to scratch (when itches)	New	TM	Polysemy	Aghul	aghu1253	iχas	 'to sharpen' 	'to scratch' 	 	 (Sulejmanov 2003)	 TM
691	to beat, hit	—	to shoot	Accepted	TM	Polysemy	Japanese	nucl1643	utsu	 'to beat, to hit' 	'to shoot' 	 	 EDICT.	 IG
692	to beat, hit	→	to kill	Accepted	TM	Polysemy	Sanskrit	sans1269	sarbh	 'to beat' 	'to kill' 	 	 Кочергина 712	 MR
693	to beat, hit	→	to break (tr.)	Accepted	TM	Polysemy	Russian	russ1263	bit'	 'to beat' 	'to crush, to break' 	 	 (Ushakov)	 TM
694	to beat, hit	→	to flow	Suspended	TM	Polysemy	Russian	russ1263	bit'	 'to beat' 	'to stream out' 	 	 Cf. the pun: - Ну, как жизнь (So, how is life)? - Жизнь бьёт ключом (Life is in full swing)! И всё по голове (And then hits on the head)…	 TM
695	to beat, hit	→	to win	Accepted	TM	Polysemy	Swahili	swah1253	nyuka	 'to beat, to hit' 	'to win, to defeat' 	 	 Polikanov	 MR
696	to shoot	→	to ask, beg	Suspended	TM	Polysemy	Russian	russ1263	streljat'	 'to shoot' 	'to ask to give smth as present or to borrow (colloq.)' 	 	 	 TM
697	smoke	—	dust	Suspended	TM	Polysemy	Aghul	aghu1253	kum	 'smoke' 	'dust' 	 	 (Sulejmanov 2003)	 TM
698	board, plank	—	cover, lid	Suspended	TM	Polysemy	Aghul	aghu1253	q'ul	 'board used to knead dough' 	'cover (e.g. pot)' 	 	" (Sulejmanov 2003). Cf. суратин кьул 'cheek' = ""face cover""'."	 TM
699	paper	—	letter (text)	Accepted	TM	Polysemy	Lezgian	lezg1247	čar	 'paper: sheet of paper' 	'letter: document' 	 	 (LezgRus 367)	 TM
700	paper	→	playing cards	New	TM	Derivation	Lezgian	lezg1247	čar	 'paper: sheet of paper'  		 	 (LezgRus 367)	 TM
701	paper	→	document (n.)	Accepted	TM	Polysemy	Tabassaran	taba1259	kaʁaz	 'paper' 	'document (fig.)' 	 	 (TabRus 188)	 TM
