,article,lang
91,"Alsodes laevis Alsodes generoko animalia da. Anfibioen barruko Alsodidae familian sailkatuta dago, Anura ordenan.


 Erreferentziak 


 Ikus, gainera 
Alsodidae


 Kanpo loturak ",bask
92,"Pentaceros quinquespinis Pentaceros generoko animalia da. Arrainen barruko Pentacerotidae familian sailkatzen da.


 Banaketa 


 Erreferentziak 


 Kanpo loturak 
FishBase.org


 Ikus, gainera 
Pentaceros
Pentacerotidae",bask
93,"Anlar (okzitanieraz Anlar, frantsesez eta ofizialki: Anla) Okzitaniako udalerri bat da. Administratiboki Frantziako Pirinio Garaiak departamenduan dago, Okzitania eskualdean. an  biztanle zituen.


 Demografia 


 Biztanleria 
an Anla udalerrian erroldatutako biztanleak  ziren. Familiak  ziren, horien artean  pertsona bakarrekoak ziren ( bakarrik bizi ziren gizonak eta  bakarrik bizi ziren emakumeak),  seme-alabarik gabeko familiak ziren,  seme-alabak dituzten bikoteak ziren eta  seme-alabak dituzten guraso-bakarreko familiak ziren.
Biztanleriak, denboran, ondorengo grafikoan ageri den bilakaera izan du:
Erroldatutako biztanleak


 Etxebizitza 
an  etxebizitza zeuden,  familiaren etxebizitza nagusia ziren,  bigarren erresidentzia ziren eta  hutsik zeuden.  etxeak ziren eta  apartamentuak ziren.  etxebizitza nagusietatik  bere jabearen bizilekua ziren,  alokairuan okupaturik zeuden eta  doan lagata zegoen;  etxek hitu gela zituzten,  etxek lau zituzten eta  etxek bost zituzten.  etxek euren parking plaza propioa zuten azpian.  etxetan ibilgailu bat zegoen eta  etxetan bat baino gehiago zituzten.


 Biztanleria-piramidea 
an sexu eta adinaren araberako biztanleria-piramidea hau zen:


 Ekonomia 
an lan egiteko adina zuten pertsonak  ziren, horien artean  aktiboak ziren eta  inaktiboak ziren.  pertsona aktiboak lanean( gizon eta  emakume) zeuden..  pertsona inaktiboetatik  erretiraturik zeuden,  ikasten zeuden eta  ""bestelako inaktibo"" gisa sailkaturik zeuden.


 Ekonomia jarduerak 
an zeuden  komertzioetatik,  janari enpresa zen eta  eraikuntza enpresak ziren.
an zeuden norbanakoentzako  zerbitzu publikoetatik,  igeltseroa zen eta  zurginak.
an zegoen establezimendu komertzial bakarra harategi bat zen.
. urtean Anla udalerrian  nekazaritza-ustiategi zeuden,  hektarea erabiltzen.


 Gertuen dauden herriak 
Diagrama honek gertuen dauden herriak erakusten ditu.


 Erreferentziak 


 Kanpo loturak 
(Frantsesez)Résumé statistique INSEEren udalerriko estatistiken laburpena.
(Frantsesez)Évolution et structure de la population INSEEren udalerriko datuen fitxa.
(Frantsesez)France par comune Frantziako udalerri guztietako datu zehatzak mapa baten bitartez eskuragarri.",bask
94,"Mandatoriccio Italiako udalerri bat da. Cosenzako probintzian kokatuta dago, Calabria eskualdean. an . biztanle zituen, , kilometro koadroko azaleran banatuta.


 Mugakideak 
Mandatoricciok honako udalerri hauekin egiten du muga:
PietrapaolaCampanaScala Coeli",bask
95,"Carville Frantziako udalerria da, Calvados departamenduan dagoena, Normandia Beherea eskualdean. an  biztanle zituen.


 Demografia 


 Biztanleria 
an Carville udalerrian erroldatutako biztanleak  ziren. Familiak  ziren, horien artean  pertsona bakarrekoak ziren ( bakarrik bizi ziren gizonak eta  bakarrik bizi ziren emakumeak),  seme-alabarik gabeko familiak ziren,  seme-alabak dituzten bikoteak ziren eta  seme-alabak dituzten guraso-bakarreko familiak ziren.
Biztanleriak, denboran, ondorengo grafikoan ageri den bilakaera izan du:
Erroldatutako biztanleak


 Etxebizitza 
an  etxebizitza zeuden,  familiaren etxebizitza nagusia ziren,  bigarren erresidentzia ziren eta  hutsik zeuden.  etxeak ziren eta apartamentu bat zen.  etxebizitza nagusietatik  bere jabearen bizilekua ziren,  alokairuan okupaturik zeuden eta  doan lagata zegoen;  etxek bi gela zituzten,  etxek hiru zituzten,  etxek lau zituzten eta  etxek bost zituzten.  etxek euren parking plaza propioa zuten azpian.  etxetan ibilgailu bat zegoen eta  etxetan bat baino gehiago zituzten.


 Biztanleria-piramidea 
an sexu eta adinaren araberako biztanleria-piramidea hau zen:


 Ekonomia 
an lan egiteko adina zuten pertsonak  ziren, horien artean  aktiboak ziren eta  inaktiboak ziren.  pertsona aktiboetatik  lanean zeuden ( gizon eta  emakume) eta  langabezian zeuden ( gizon eta  emakume).  pertsona inaktiboetatik  erretiraturik zeuden,  ikasten zeuden eta  ""bestelako inaktibo"" gisa sailkaturik zeuden.


 Diru sarrerak 
an Carville udalerrian  unitate fiskal zeuden, , pertsonek osaturik. Pertsona bakoitzeko diru-sarrera fiskalaren mediana urteko . euro zen.


 Ekonomia jarduerak 
an zeuden  komertzioetatik,  eraikuntza enpresak ziren,  garraio enpresa zen,  ostalaritza eta jatetxe enpresa zen,  zerbitzu enpresa zen eta  administrazio publikoko enpresa zen.
an zeuden norbanakoentzako  zerbitzu publikoetatik,  margolaria zen eta  iturgina.
. urtean Carville udalerrian  nekazaritza-ustiategi zeuden,  hektarea erabiltzen.


 Gertuen dauden herriak 
Diagrama honek gertuen dauden herriak erakusten ditu.


 Erreferentziak 


 Kanpo loturak 
(Frantsesez)Résumé statistique INSEEren udalerriko estatistiken laburpena.
(Frantsesez)Évolution et structure de la population INSEEren udalerriko datuen fitxa.
(Frantsesez)France par comune Frantziako udalerri guztietako datu zehatzak mapa baten bitartez eskuragarri.",bask
96,"Elkanoren estatua Gipuzkoako Getaria udalerrian dagoen estatua bat da. Getariako Alde Zaharraren sarrera dago, Gudarien enparantzan eta Getariako udaletxearen aurrean.
Joan Sebastian Elkano getariar itsasgizon ospetsuaren omenez altxatutako Getariako bi estatutako bat da, bestea Elkano plazako estatua da. Honako hau, ean Ricardo Bellver eskuturgileak egin zuen.


 Ikus gainera 
Elkanoren estatua (Getaria, Elkano plaza)
Elkanoren omenezko monumentua",bask
97,"Sardinella Clupeidae familiako arrain genero bat da.  espezie ezagutzen dira gaur egun. Ur epeletan eta itsaso tropikal eta azpitropikaletan ugariak dira.
Orokorrean kostan bizi dira. Gazteak estuario eta sakonera eskaseko uretan aurkitzen dira, eta helduak itsasoan aurki daitezke. Espezieak bereizteko gorputzeko elementuak erabiltzen dira, baina askotan oso errazak dira nahasteko. tik ra arteko markak dituzte buruaren gaineko ezkatetan. Barailaren gaineko egiturak arraun itxura du, eta hori da elementurik esanguratsuena generoa karakterizatzeko garaian.


 Espezieak 
Sardinella albella
Sardinella atricauda
Sardinella aurita
Sardinella brachysoma
Sardinella dayi
Sardinella fijiense
Sardinella fimbriata
Sardinella gibbosa
Sardinella hualiensis
Sardinella janeiro
Sardinella jonesi
Sardinella jussieu
Sardinella lemuru
Sardinella longiceps
Sardinella maderensis
Sardinella marquesensis
Sardinella melanura
Sardinella neglecta
Sardinella richardsoni
Sardinella rouxi
Sardinella sindensis
Sardinella tawilis
Sardinella zunasi",bask
98,"Life
Myotis lucifugus Myotis generoko animalia da. Chiropteraren barruko Myotinae azpifamilia eta Vespertilionidae familian sailkatuta dago


 Erreferentziak 


 Kanpo loturak 
'Myotis lucifugus'ri buruzko informazioa Mammals of The World datubasean


 Ikus, gainera 
Vespertilionidae",bask
99,"Neopsittacus pullicauda Neopsittacus generoko animalia da. Hegaztien barruko Psittacidae familian sailkatua dago.


 Erreferentziak 


 Kanpo loturak 
World Bird Names


 Ikus, gainera 
Neopsittacus
Psittacidae",bask
0," Phaetusa, olim designationibus  YH et A XB agnitus, est asteroides systematis solaris nostri, asteroidibus Cinguli Principalis attributus. Astronomis terrestribus magnitudinem absolutam . monstrat. Die  Augusti  ab Augusto Honoro Charlois in Observatorio Nicaeae versato repertus est.Rerum orbitalium ratio epochae  Ianuarii  constitit. Qua epocha  Phaetusa per dies  circa solem movebatur. Axem orbitalem habebat unitatum astronomicarum . et eccentricitatem ., distans igitur a sole quam minime unitatibus ., quam maxime unitatibus .. Inclinatio orbitalis .° reperiebatur, anomalia media .°.


 Notae 


 Nexus externi 
 Haec commentatio, automatice praeparata, res astronomicas colligit excerptas e pagina [] sitús Small-Body Database, quem elaboraverunt NASA et JPL apud Institutum Technologiae Californiense.",lat
1,"Hic est Index Communium provinciae Navarrensis. Huic provinciae  communia sunt


 Notae ",lat
2,"Arteria spinalis anterior, in (animalibus arteria spinalis ventralis) est maxima arteria, quae medullam spinalem cervicalem et partim thoracalem rigat . Haec arteria profluit e ambabus arteriis vertebralibus apud decussationem pyramidum. Rami arteriae spinalis anterioris cum arteriis spinalibus posterioribus communicant.


 Notae ",lat
3,"Sergius Frusoni (natus familia oriunda e Italia in Mindelo (Mintelus Sancti Vincentii), São Vicente (Sanctus Vincentius) die  Augusti ; mortuus est in Olisipone die  Maii ) fuit Promontorii Viridis illustris poeta.


 Nexus externi 
 Sergii Frusoni opera
 Carmen Nha Chica
 Carmen Temp dCanequinha
 Sergii Frusoni carmina",lat
4,"Texola elada (Anglice elada checkerspot) est papilio familiae Nymphalidarum, a Mexico meridiano ad septentriones usque ad Texiam mediam et Arizonam mediam in Civitatibus Foederatis endemicus.

Latitudo alarum est – mm. Adulti ab Aprile ad Octobrem volare solent. Sunt nonnulli fetus per annum.Larvae Siphonoglossa pilosella in Texia vescuntur; variis autem speciebus flavis familiae Asteracearum in Mexico observatae sunt. Adulti nectar florum vescuntur.


 Subspecies 
 Texola elada elada (Mexicum)
 Texola elada ulrica (Texia)
 Texola elada perse (Arizona)


 Notae 


 Nexus externi 
 De specie apud situm bugguide.net
 De specie apud situm nearctica.com",lat
5," Miles, olim designationibus  BE,  KA, et  CJ agnitus, est asteroides systematis solaris nostri, asteroidibus Cinguli Principalis attributus. Astronomis terrestribus magnitudinem absolutam . monstrat. Die  Ianuarii  ab Edwardo Bowell, astronomo apud Observatorium Lowell versato, repertus est.Rerum orbitalium ratio epochae  Ianuarii  constitit. Qua epocha  Miles per dies  circa solem movebatur. Axem orbitalem habebat unitatum astronomicarum . et eccentricitatem ., distans igitur a sole quam minime unitatibus ., quam maxime unitatibus .. Inclinatio orbitalis .° reperiebatur, anomalia media .°.


 Notae 


 Nexus externi 
 Haec commentatio, automatice praeparata, res astronomicas colligit excerptas e pagina [] sitús Small-Body Database, quem elaboraverunt NASA et JPL apud Institutum Technologiae Californiense.",lat
6,"Castanet-le-Haut  (Occitanice Castanet lo Naut) est commune Francicum  incolarum (anno ) praefecturae Arauris in regione Occitania et Ruscinone.


 Nexus interni 
 Indicem communium praefecturae Arauris


 Nexus externi ",lat
7,"Augignac  est commune Francicum  incolarum (anno ) praefecturae Duranii in regione Aquitania.


 Nexus interni 

 Indicem communium praefecturae Duranii


 Nexus externi 

 Augignac pagina interretialis",lat
8,"Varennes est commune Francicum  incolarum (anno ) praefecturae Garunnae Superioris in regione australi Meridiano et Pyrenaeis (a die  Ianuarii  Occitania Ruscinone Meridiano et Pyrenaeis).


 Nexus interni 

 Indicem communium praefecturae Garunnae Superioris


 Nexus externi 

  De hoc commune apud cassini.ehess.fr",lat
9,"Tuba auditiva Eustachii est utra duarum partium anatomicarum, quae aures medias cum parte nasali pharyngis colligant. Occurrit in avibus, reptiliis et mammalibus. In homine . centimetros patet.Tuba auditiva a medico et anatomico Italiano Bartholomaeo Eustachio inventa est, cuius nomen fert.


 Notae ",lat
10,"Familia regalis est familia modi veteris rectionis ubi primum videmus regem, reginam, principem, principissam, et cetera. Populus titulorum regalium inter homines in aevis vetustioribus adhibentissimi sunt, et nunc in Aevo Novo talis populus ut vetus et inutilis videtur, ita non iam recte sunt. Ita eorum quorum restituit causa culturae, oblectatio, oeconomiae, primum sunt.


 Nexus externi ",lat
11,"Gulielmus Henricus Foulke, Anglice William Foulke, (die  Aprilis  natus, die  Maii  mortuus) pedilusor Anglicus, primus Chelsea capitaneus, fuit. Foulke ob maximam molem suam (fere  chilogrammata) notus est.


 Nexus externi 
De Gulielmo Foulke (Anglice)
De Gulielmo Foulke (Anglice)",lat
12,"Cauvigny est commune Francicum ' incolarum (anno ) praefecturae Esiae in regione Picardia.


 Nexus interni 
 Indicem communium praefecturae Esiae


 Nexus externi 

 Cauvigny pagina interretialis",lat
13,"Pater noster, sive oratio dominica, est cultissima prex Christiana  quam secundum Novum Testamentum Iesus discipulos eius docuit. Duo exempla commemorantur: exemplum maius in evangelio secundum Matthaeum, pars sermonis montani, et exemplum minus in evangelio secundum Lucam, responsum Iesu cum ""unus ex discipulis eius"" rogat ut eos doceat ""ut orent sicut docuit et Ioannes discipulos suos."" Precis contextus in Matthaeo est oratio quae homines deplorat qui gloriose precari solent.
Usus huius precis non tantum privatus est, sed etiam in liturgiis omnium rituum ecclesiarum Christianorum adhibetur. Verba secundum Matthaeum :– haec sunt:


 Graece 
Hic est textus Graecus:

Πάτερ ἡμῶν ὁ ἐν τοῖς οὐρανοῖς
ἁγιασθήτω τὸ ὄνομά σου
ἐλθέτω ἡ βασιλεία σου
γενηθήτω τὸ θέλημά σου, 
ὡς ἐν οὐρανῷ καὶ ἐπὶ γῆς
τὸν ἄρτον ἡμῶν τὸν ἐπιούσιον δὸς ἡμῖν σήμερον
καὶ ἄφες ἡμῖν τὰ ὀφειλήματα ἡμῶν, 
ὡς καὶ ἡμεῖς ἀφίεμεν τοῖς ὀφειλέταις ἡμῶν
καὶ μὴ εἰσενέγκῃς ἡμᾶς εἰς πειρασμόν
ἀλλὰ ῥῦσαι ἡμᾶς ἀπὸ τοῦ πονηροῦ.
[Ὅτι σοῦ ἐστιν ἡ βασιλεία καὶ ἡ δύναμις καὶ ἡ δόξα εἰς τοὺς αἰῶνας. ἀμήν.]


 Quaestiones traductionis 
 Qui es in caelis = ό εν тоις ουρανοις (translitteratio : ho en tois ouranois). Secundum litteras= is in caelis. ""qui es in caelis"" non est locus Dei, sed definitio Dei. Non est pater noster ""humanus"". 
 Regnum tuum= βασιλεια. Traductio latina est correcta. Sed in linguis modernis , sunt errores quia ""βασιλεια"" significat tres res : tempus vitae regis, spatium vel imperium regis, potestas regis. ( e.g Anglice reign, kingdom, royalty). Francogallice, verbum ""règne"" electus est cum videatur "" royaume "" melius. 
 sicut in caelo et in terra: significat voluntatem iam exsistere in caelo et facturam in terra.
 Quotidianum = ἐπιούσιον (epiousion) ""sufficientem diei advenienti"", namque ἡ ἐπιοῦσα (hē epiousa) diem significabat advenientem seu posterum [< ἔπειμι (epeimi) ""advenio""]. 
 Dimitte nobis debita nostra : agitur de pecunia. Quaedam specimina moderna sunt falsa nam sunt abstractiora. 
 et ne nos inducas in tentationem [sic] = ""induco"" et ""temptatio"" sunt dubia verba. εισενγκης( translitteratio = eisenegkes) venit a ""eisphero"" : secundum litteras ""adfero"". Videtur significare "" Fac ne adeamus in"". ""πειρασμον"" significat etiam ""conatus"". Quidam theologi putant nefas esse credere Deum temptare homines. 
 malo = поνηρου. Graece ""ponerou"" non differt in neutro vel in masculino. ""Malo"" potest indicare ""mala res"" aut ""mala persona"" i.e diabolusNotandum est a secundo versu in quartum esse constructionem comparativam : Tria verba in imperativo modo in tertia persona singulari, cadentia in ""τω"", tria nomina cadentia in ""α"" et tria pronomina possessiva "" σου""


 De versionibus 
Concilium Parisiense anno  ""de libris theologicis scriptis in Romano"" (scil. Francogallice) ""et Pater noster"" confiscandis praecepit: Is qui libros vel philosophicos vel vernaculares retinetur ""pro haeretico habebitur"". Temporibus recentioribus versiones huius textu in multas linguas confectae sunt.

		


 Nota 


 Nexus externi 

 Texti Pater Noster",lat
14,"Helena, vulgo Helen Mirren, nomine nativo Ilyena Vasilievna Mironov (nata ex patre Russicae originis die  Iulii  Londinii in regione suburbana Chiswick) est actrix Britannica theatralis ac cinematographica. Mirren multa praemia accepit cum alia tum praemium Academiae anno  optimae actrici pelliculae The Queen tributum.


 Pelliculae selectae 
  : The Queen 
  : The Debt 


 Nexus externi 
 De Helena Mirren in Indice Interretiali Pellicularum (Anglice)
 Biographia et index pellicularum apud whoswho.de (Theodisce)",lat
15," Efimov, olim designationibus  PD,  WF,  RB, et  YR agnitus, est asteroides systematis solaris nostri, asteroidibus Cinguli Principalis attributus. Astronomis terrestribus magnitudinem absolutam . monstrat. Die  Augusti  a Tamara Mikhaylovna Smirnova, astronomo apud Observatorium Astrophysicum Crimaeae versato, repertus est.Rerum orbitalium ratio epochae  Ianuarii  constitit. Qua epocha  Efimov per dies  circa solem movebatur. Axem orbitalem habebat unitatum astronomicarum . et eccentricitatem ., distans igitur a sole quam minime unitatibus ., quam maxime unitatibus .. Inclinatio orbitalis .° reperiebatur, anomalia media .°.


 Notae 


 Nexus externi 
 Haec commentatio, automatice praeparata, res astronomicas colligit excerptas e pagina [] sitús Small-Body Database, quem elaboraverunt NASA et JPL apud Institutum Technologiae Californiense.",lat
16,"Simona (Theod. Simone) Peter (nata die  Decembris  in oppido Quierschied/Saravia) rerum politicarum perita Germanica factionis Foederis /Viridum est.


 Iuventus et munus 
Peters post scholam finitam Saravipontis biologiae studebat et doctor promota est. Deinde ad annum  diurnaria pro diurno de energia solis operam dedit. Tum Berolini pro agentura energia renovanda operam dedit.


 Familia 
Peters marito nupsit et filium habet.


 Cursus honorum 
Peter ab anno  sodalis factionis viridum erat. Annis  -  administra energiae et commeatus Saraviae fuit et ab anno  legata ad senatum terrae Saravia est. Die  Octobris  una cum Cem Özdemir nova praeses Foederis  Viridum electa est.


 Nexus externi 

 Curriculum vitae Simonae Peters in pagina senatus terrae Saraviae
 Biographia apud paginam factionis Foederis /Virides
 
 Opera ab hoc homine vel de eo scripta apud Bibliothecam Nationalem Germanicam (Theodisce)


 Notae ",lat
17,"Choisy-la-Victoire est commune Francicum  incolarum (anno ) praefecturae Esiae in regione Picardia.


 Nexus interni 
 Indicem communium praefecturae Esiae


 Nexus externi ",lat
18," Gibson, olim designationibus  JG,  TS,  TT,  KV,  UD,  BZ, et  TP agnitus, est asteroides systematis solaris nostri, asteroidibus Cinguli Principalis attributus. Astronomis terrestribus magnitudinem absolutam . monstrat. Die  Maii  a Carolina Ioanne Spellmann Shoemaker, astronomo apud Observatorium Palomar versato, repertus est.Rerum orbitalium ratio epochae  Ianuarii  constitit. Qua epocha  Gibson per dies  circa solem movebatur. Axem orbitalem habebat unitatum astronomicarum . et eccentricitatem ., distans igitur a sole quam minime unitatibus ., quam maxime unitatibus .. Inclinatio orbitalis .° reperiebatur, anomalia media .°.


 Notae 


 Nexus externi 
 Haec commentatio, automatice praeparata, res astronomicas colligit excerptas e pagina [] sitús Small-Body Database, quem elaboraverunt NASA et JPL apud Institutum Technologiae Californiense.",lat
19,"Cressae est tragoedia quam Euripides docuit, hodie deperdita.


 Bibliographia 
 Euripides: Fragments edd. Christopher Collard, Martin Cropp (Cantabrigiae [Mass.]: Harvard University Press, ) vol.  pp. - (Loeb Classical Library) (Graece, Anglice)
 Tragicorum Graecorum fragmenta. a ed., vol. : Euripides ed. E. C. Kopff. Goettingae .",lat
20,"Saint-Christophe est commune Francicum  incolarum (anno ) praefecturae Vigennae in provincia occidentali Pictaviensi et Carantoni.


 Nexus interni 
 Index communium praefecturae Vigennae


 Nexus externi ",lat
21,"Stephanus de la Boétie (Francice: Étienne de la Boétie ;  Novembris — Augusti ) fuit iudex, philosophus, scriptor humanista linguae Francogallicae, et Michaelis de Montaigne amicus. Et sonetos scripsit et liber Horatii, Vergilii et Ariosti interpretavit.
Cum sua opera ""Tractatus de servitute voluntaria"", liber philosophiae politicae apud ius naturale, causa tyranniae tractavit et morem origoniem servitutis esse putavit. 


 Opera 
 Discours de la servitude volontaire (""Tractatus de servitute voluntaria"")
 La mesnagerie de Xénophon; les règles de mariage de Plutarque; lettre de consolation de Plutarque à sa femme; le tout traduict du grec en françois par M. Estienne de la Boétie ... ensemble quelques vers latins ... de son invention. Liber a Michaele de Montaigne editus anno 
 Vers françois de feu Estienne de la Boëtie. 


 Fontes 
 Montaigne, Michael de. . Discours sur la mort de feu M. de la Boëtie.


 Nexus externi 
 Discours Francice apud Wikisource
 Carmina Francice


 Bibliographia 
 Œuvres complètes, Editions William Blake & Co., . ISBN ---
 Discours de la servitude volontaire, Editions Mille et une nuits, . ISBN ---",lat
22,"Castrum Sancti Angeli ad Pontem Sevis (alia nomina: Castrum Sancti Angeli de Ponte Sevis, Pons ad Sevem, Pons ad Sevam, Pons Sevis) (Italiane: Pontassieve) est oppidum Italiae et municipium, circiter   incolarum, in Regione Tuscia ac in Urbe metropolitana Florentina situm. Incolae Sevispontici vel Sevispontani appellantur.


 Insignia 

		


 Sententia 


 Geographia 


 Oeconomia 


 Historia 


 Clari cives 


 Nati 


 Victi 
 Carolus Cassola
 Matthaeus Renzi


 Mortui 


 Urbis administratio 


 Aedificia egregia 


 Ecclesia Catholica Romana 
 Archidioecesis Florentina


 Fractiones, vici et loci in municipio 


 Fractiones 
Acone, Colognole, Doccia, Fornello, Le Falle, Le Sieci, Lubaco, Madonna del Sasso, Molino del Piano, Montebonello, Monteloro, Monterifrassine, Petroio, Podere Prato, San Martino, San Martino a Quona, Santa Brigida.


 Loci 


 Municipia finitima 
 Balneum ad Ripulas,
 Burgus Sancti Laurentii (olim: Anneianum),
 Decomanum,
 Faesulae, 
 Castrum Pelaghi et Pelagum,
 Rignanum,
 Rufina,
 Viculum.


 Nexus interni 
 Tuscia (regio),
 Urbs metropolitana Florentina,
 Provincia Florentina,
 Florentia (urbs),
 Municipium Italiae.


 Nexus externi 
 Situs Publicus (Italiane)


 Pinacotheca 

		


 Notae ",lat
23,"Fornost seu Norburgum (Anglice: Norbury) est urbs munita fictitia in Tolkieniensi Terra Media, quae erat pars regni Arnoris in Eriadore, et cuius nomen expletum est Fornost Erain in lingua Sindarin et Norburgum Regum in lingua Commune (Anglice: Norbury of the Kings). Locatum est Norbugum in via quae per Bree ad Rohan (et deinde in Minas Tirith) ducet. Nomen in lingua Sindarin est locutio burgum (*-ost) septentrionale (*for(n)-) significans.


 Historia 
Condita fuit urbs in Secunda Aetate a regibus Numenorianis in exsilio qui creaverunt regnum Arnorianum. Anno  Tertiae Aetatis, ultimus rex Arnorianus obiit, et filii regnum in partes tres se dividerunt, et tum norburgum fuit caput regni Arthedain. 
Bello a Rege-mago gesto, anno  reges tolerunt in Norburgum lapidem videntem? ex Amon Sûl. Anno  Rex-magus vi cepit Norburgum et urbem populavit. Ita, urbe ab Arnorianis capta, ob magnitudinem populationis a Rege-mago creata urbs relicta est, et sine incolis. 
Quarta aetas ineunte, Aragorn rex urbem Norburgum iterum aedificare iussit.


 Nexus interni 
Annúminas
Arnor


 Notae ",lat
